C11c,C22c
0.036136551,0.110916112
0.036287749,0.121650525
0.036887314,0.076926005
0.027623895,0.07077897
0.037372762,0.110916112
0.040315887,0.069086813
0.041693434,0.07881336
0.040846504,0.080310855
0.043653569,0.069086813
0.032110829,0.083542625
0.033923905,0.149288198
0.039555642,0.093184902
0.039601316,0.092623379
0.028767213,0.092623379
0.030402343,0.075585753
0.030924619,0.07161916
0.030253703,0.072097331
0.020525684,0.056614306
0.026455536,0.060652938
0.032082742,0.06257127
0.030379145,0.068405372
0.028624716,0.057238511
0.030640349,0.053518166
0.02020658,0.055224496
0.029767763,0.055466128
0.02558042,0.048534793
0.029416879,0.048432221
0.028599581,0.059340304
0.029058217,0.063661256
0.030053317,0.064012172
0.029753975,0.050070216
0.021487244,0.058824365
0.02121527,0.065318594
0.029789873,0.060899838
0.031540376,0.057133228
0.028273916,0.063522292
0.032852932,0.048776352
0.029379934,0.055417581
0.027334249,0.05256689
0.026474583,0.05316707
0.027370689,0.062504757
0.030115929,0.057503953
0.020339433,0.062240545
0.025235876,0.058154364
0.033387505,0.054423094
0.029292648,0.061086746
0.028558393,0.06509602
